id,name,birthdate,deathdate
698,Ben Chaplin,1970-07-31,NA
699,Ben Crompton,NA,NA
700,Ben Cross,1947-12-16,NA
701,Ben Daniels,1964-06-10,NA
702,Ben Davies,NA,NA
703,Ben Diskin,1982-08-25,NA
704,Ben Falcone,NA,NA
705,Ben Feldman,1980-05-27,NA
706,Ben Gazzara,1930-08-28,2012-02-03
707,Ben Johnson,1918-06-13,1996-04-08
708,Ben Lewin,NA,NA
709,Ben Mendelsohn,1969-04-03,NA
710,Ben Miles,NA,NA
711,Ben Miller,1966-02-24,NA
712,Ben Platt,1993-09-24,NA
713,Ben Schwartz,NA,NA
714,Ben Stassen,NA,NA
715,Ben Stein,1944-11-25,NA
716,Ben Stiller,1965-11-30,NA
717,Ben Vereen,1946-10-10,NA
718,Ben Wheatley,NA,NA
719,Ben Youcef,1979-02-19,NA
720,Ben Younger,1972-10-07,NA
721,Benedek Fliegauf,1974-08-15,NA
722,Benedict Cumberbatch,1976-07-19,NA
723,Benedict Wong,NA,NA
724,Benedikt Erlingsson,1969-05-31,NA
725,Benh Zeitlin,NA,NA
726,Benjamin A. Onyango,NA,NA
727,Benjamin Dickinson,NA,NA
728,Benjamin Fletcher,NA,NA
729,Benjamin J. Cain Jr.,NA,NA
730,Benjamin Roberds,NA,NA
731,Benjamin Walker,1982-06-21,NA
732,Bennett Miller,1966-12-30,NA
733,Benni Diez,NA,NA
734,Benno Fürmann,1972-01-17,NA
735,Benny Boom,NA,NA
736,Benoît Magimel,1974-05-11,NA
737,Benoît Poelvoorde,1964-09-22,NA
738,Benson Lee,NA,NA
739,Bérénice Bejo,1976-07-07,NA
740,Bergüzar Korel,1982-09-02,NA
741,Bern Cohen,NA,NA
742,Bernadette Peters,1948-02-28,NA
743,Bernard Cribbins,1928-12-29,NA
744,Bernard Fox,1927-05-11,2016-12-14
745,Bernard Hill,1944-12-17,NA
746,Bernardo Bertolucci,1941-03-16,NA
747,Bernardo Saracino,NA,NA
748,Bernie Casey,1939-06-08,NA
749,Bernie Mac,1957-10-05,2008-08-09
750,Bernie Sanders,1941-09-08,NA
751,Bertrand Cantat,1964-03-05,NA
752,Bess Armstrong,1953-12-11,NA
753,Bessie Love,1898-09-10,1986-04-26
754,Beth Broderick,1959-02-24,NA
755,Beth Grant,1949-09-18,NA
756,Beth Riesgraf,1978-08-24,NA
757,Bethany Blakey,NA,NA
758,Bethany Joy Lenz,1981-04-02,NA
759,Beto Gómez,1969-05-12,NA
760,Betsy Baker,NA,NA
761,Betsy Palmer,1926-11-01,2015-05-29
762,Betsy Russell,1963-09-06,NA
763,Betty Hutton,1921-02-26,2007-03-11
764,Betty Thomas,1947-07-27,NA
765,Beverly D'Angelo,1951-11-15,NA
766,Beverly Randolph,NA,NA
767,Bhama,NA,NA
768,Bhavkhandan Singh Rakhra,NA,NA
769,Bhole Baba,NA,NA
770,Bhoomika Chawla,1978-08-21,NA
771,Bianca Brigitte VanDamme,1990-10-17,NA
772,Bianca Collins,1988-08-17,NA
773,Bianca Kajlich,1977-03-26,NA
774,Bibo Bergeron,NA,NA
775,Big Budah,NA,NA
776,Bigas Luna,1946-03-19,2013-04-06
777,Bill Allen,NA,NA
778,Bill Bailey,1980-11-21,NA
779,Bill Baird,NA,NA
780,Bill Benenson,NA,NA
781,Bill Clinton,1946-08-19,NA
782,Bill Cobbs,1934-06-16,NA
783,Bill Condon,1955-10-22,NA
784,Bill Duke,1943-02-26,NA
785,Bill Erwin,1914-12-02,2010-12-29
786,Bill Fagerbakke,1957-10-04,NA
787,Bill Farmer,1952-11-14,NA
788,Bill Hickman,1921-01-25,1986-02-24
789,Bill Hunter,1940-02-27,2011-05-21
790,Bill Irwin,1950-04-11,NA
791,Bill Johnson,NA,NA
792,Bill Lake,1979-03-24,NA
793,Bill Maher,1956-01-20,NA
794,Bill Martone,NA,NA
795,Bill Melendez,1916-11-15,2008-09-02
796,Bill Muir,NA,NA
797,Bill Murray,1950-09-21,NA
798,Bill Nunn,1953-10-20,2016-09-24
799,Bill Paterson,1945-06-03,NA
800,Bill Paxton,1955-05-17,2017-02-25
801,Bill Plympton,1946-04-30,NA
802,Bille August,1948-11-09,NA
803,Bille Woodruff,NA,NA
804,Billie Burke,1884-08-07,1970-05-14
805,Billie Whitelaw,1932-06-06,2014-12-21
806,Billy Aaron Brown,1981-07-28,NA
807,Billy Barty,1924-10-25,2000-12-23
808,Billy Blair,NA,NA
809,Billy Bob Thornton,1955-08-04,NA
810,Billy Boyd,1968-08-28,NA
811,Billy Brown,NA,NA
812,Billy Burke,1966-11-25,NA
813,Billy Campbell,1959-07-07,NA
814,Billy Crudup,1968-07-08,NA
815,Billy Drago,1945-11-30,NA
816,Billy Gardell,1969-08-20,NA
817,Billy Gilbert,1880-03-21,1971-01-20
818,Billy Kent,NA,NA
819,Billy Ray,NA,NA
820,Billy West,1952-04-16,NA
821,Billy Wilder,1906-06-22,2002-03-27
822,Bin Won,1977-11-10,NA
823,Bingbing Fan,1981-09-16,NA
824,Bingbing Li,1973-02-27,NA
825,Bipasha Basu,1979-01-07,NA
826,Birgitte Hjort Sørensen,1982-01-16,NA
827,Birol Ünel,1961-08-18,NA
828,Björk,NA,NA
829,Björn Hlynur Haraldsson,NA,NA
830,Bjørn Sundquist,1948-06-16,NA
831,Black Thomas,1969-08-28,NA
832,Blaine Anderson,NA,NA
833,Blair Brown,1946-04-23,NA
834,Blair Erickson,NA,NA
835,Blair Hayes,NA,NA
836,Blair Underwood,1964-08-25,NA
837,Blake Edwards,1922-07-26,2010-12-15
838,Blake Lindsley,1973-12-19,NA
839,Blake Ritson,1978-01-14,NA
840,Blanchard Ryan,1967-01-12,NA
841,Blaz Zavrsnik,1984-07-17,NA
842,Blythe Auffarth,NA,NA
843,Blythe Danner,1943-02-03,NA
844,Bo Huang,1974-08-26,NA
845,Bo Welch,1951-11-30,NA
846,Bo Zenga,NA,NA
847,Boaz Yakin,NA,NA
848,Bob Balaban,1945-08-16,NA
849,Bob Clark,1939-08-05,2007-04-04
850,Bob Clendenin,1964-04-14,NA
851,Bob Costas,1952-03-22,NA
852,Bob Dole,1923-07-22,NA
853,Bob Dolman,NA,NA
854,Bob Dylan,1941-05-24,NA
855,Bob Eubanks,1938-01-08,NA
856,Bob Fosse,1927-06-23,1987-09-23
857,Bob Giraldi,1939-01-17,NA
858,Bob Gosse,1963-01-09,NA
859,Bob Gunton,1945-11-15,NA
860,Bob Hoskins,1942-10-26,2014-04-29
861,Bob Marley,1945-02-06,1981-05-11
862,Bob Neill,NA,NA
863,Bob Newhart,1929-09-05,NA
864,Bob Odenkirk,1962-10-22,NA
865,Bob Peck,1945-08-23,1999-04-04
866,Bob Proctor,NA,NA
867,Bob Rafelson,1933-02-21,NA
868,Bob Ross,1908-06-26,NA
869,Bob Saget,1956-05-17,NA
870,Bob Spiers,1945-09-27,2008-12-08
871,Bobb'e J. Thompson,1996-02-28,NA
872,Bobbie Phillips,1968-01-29,NA
873,Bobby Batson,NA,NA
874,Bobby Block,1928-12-10,1972-05-13
875,Bobby Brown,NA,NA
876,Bobby Coleman,1997-05-05,NA
877,Bobby Deol,NA,NA
878,Bobby Farrelly,1958-06-17,NA
879,Bobby Kendall,NA,NA
880,Bobby Lee,1972-09-17,NA
881,Bobby Moynihan,1977-01-31,NA
882,Bobby Roth,NA,NA
883,Bobcat Goldthwait,1962-05-26,NA
884,Bojana Novakovic,1981-11-17,NA
885,Bokeem Woodbine,1973-04-13,NA
886,Bolaji Badejo,1953-08-23,1992-12-22
887,Bolo Yeung,1946-02-27,NA
888,Boman Irani,1959-12-02,NA
889,Bonnie Henna,NA,NA
890,Bonnie Hunt,1961-09-22,NA
891,Bonnie Lee Bouman,NA,NA
892,Bonnie Somerville,1974-02-24,NA
893,Bono,1960-05-10,NA
894,Bonz Malone,NA,NA
895,Boris Kodjoe,1973-03-08,NA
896,Boris Rodriguez,NA,NA
897,Boyd Banks,1964-04-16,NA
898,Boyd Holbrook,1981-09-01,NA
899,Boys II Men,1972-09-26,NA
900,Brad Anderson,NA,NA
901,Brad Bird,1957-09-24,NA
902,Brad Copeland,NA,NA
903,Brad Furman,NA,NA
904,Brad Garrett,1960-04-14,NA
905,Brad J. Silverman,NA,NA
906,Brad James,NA,NA
907,Brad Lee Wind,1968-04-10,NA
908,Brad Leland,1954-09-15,NA
909,Brad Peyton,NA,NA
910,Brad Pitt,1963-12-18,NA
911,Brad Renfro,1982-07-25,2008-01-15
912,Brad Schmidt,1979-05-31,NA
913,Brad Silberling,1963-09-08,NA
914,Brad William Henke,1966-04-10,NA
915,Bradley Cooper,1975-01-05,NA
916,Bradley Parker,NA,NA
917,Bradley Pierce,1982-10-23,NA
918,Bradley Rust Gray,NA,NA
919,Bradley Whitford,1959-10-10,NA
920,Brady Corbet,1988-08-17,NA
921,Braeden Lemasters,1996-01-27,NA
922,Brahim Achabbakhe,1984-05-17,NA
923,Brahmanandam,1956-02-01,NA
924,Brandon Camp,NA,NA
925,Brandon Cronenberg,NA,NA
926,Brandon Landers,NA,NA
927,Brandon Middleton,NA,NA
928,Brandon Molale,1971-11-24,NA
929,Brandon Smith,1989-05-29,NA
930,Brandon T. Jackson,1984-03-07,NA
931,Brandon Trost,1981-08-29,NA
932,Brandy Norwood,1979-02-11,NA
933,Branko Djuric,1962-05-28,NA
934,Breck Eisner,1970-12-24,NA
935,Bree Turner,1977-03-10,NA
936,Bree Williamson,1979-12-28,NA
937,Brenda Bakke,1963-05-15,NA
938,Brenda Blethyn,1946-02-20,NA
939,Brenda Chapman,1962-11-01,NA
940,Brenda Fricker,1945-02-17,NA
941,Brenda Song,1988-03-27,NA
942,Brenda Strong,1960-03-25,NA
943,Brenda Vaccaro,1939-11-18,NA
944,Brendan Coyle,1963-12-02,NA
945,Brendan Doogie Milewski,NA,NA
946,Brendan Fehr,1977-10-29,NA
947,Brendan Fraser,1968-12-03,NA
948,Brendan Mackey,NA,NA
949,Brendan Malloy,NA,NA
950,Brendan Sexton III,1980-02-21,NA
951,Brendon Eggertsen,NA,NA
952,Brent Anderson,NA,NA
953,Brent David Fraser,1967-02-21,NA
954,Brent Neale,1963-04-17,NA
955,Brent Sexton,1967-08-12,NA
956,Brenton Spencer,NA,NA
957,Brett Cullen,1956-08-26,NA
958,Brett Leonard,1959-05-14,NA
959,Brett Piper,NA,NA
960,Brett Ratner,1969-03-28,NA
961,Brett Wagner,NA,NA
962,Brian A Miller,NA,NA
963,Brian Anthony Wilson,1960-02-22,NA
964,Brian Austin Green,1973-07-15,NA
965,Brian Baugh,NA,NA
966,Brian Blessed,1936-10-09,NA
967,Brian Bosworth,1965-03-09,NA
968,Brian Caunter,NA,NA
969,Brian d'Arcy James,1968-06-29,NA
970,Brian Dannelly,NA,NA
971,Brian De Palma,1940-09-11,NA
972,Brian Dennehy,1938-07-09,NA
973,Brian Dietzen,1977-11-14,NA
974,Brian Dorton,NA,NA
975,Brian Doyle-Murray,1945-10-31,NA
976,Brian Eno,1948-05-15,NA
977,Brían F. O'Byrne,1967-05-16,NA
978,Brian Geraghty,1975-05-13,NA
979,Brian Gibson,1944-09-22,2004-01-04
980,Brian Helgeland,1961-01-17,NA
981,Brian Henson,1963-11-03,NA
982,Brian Herzlinger,1976-02-19,NA
983,Brian Howe,NA,NA
984,Brian Johnson,NA,NA
985,Brian Keith,1921-11-14,1997-06-24
986,Brian Klugman,1975-09-14,NA
987,Brian Koppelman,NA,NA
988,Brian Lee Franklin,NA,NA
989,Brian Levant,1952-08-06,NA
990,Brian McNamara,1960-11-21,NA
991,Brian O'Halloran,1969-12-20,NA
992,Brian Percival,NA,NA
993,Brian Robbins,1963-11-22,NA
994,Brian Steele,NA,NA
995,Brian Stepanek,1971-02-06,NA
996,Brian Thompson,1959-08-28,NA
997,Brian Trenchard-Smith,NA,NA
998,Brian Van Holt,1969-07-06,NA
999,Brian Whitaker,NA,NA
1000,Brian Yuzna,NA,NA
1001,Brianna Brown,1979-10-02,NA
1002,Brianne Brozey,1963-08-25,NA
1003,Bridget Fonda,1964-01-27,NA
1004,Bridgette Wilson-Sampras,1973-09-25,NA
1005,Bridgit Mendler,1992-12-18,NA
1006,Brighton Sharbino,NA,NA
1007,Brigitte Bardot,1934-09-28,NA
1008,Brigitte Helm,1906-03-17,1996-06-11
1009,Brigitte Nielsen,1963-07-15,NA
1010,Brion James,1975-02-04,NA
1011,Brit Morgan,1987-09-24,NA
1012,Britney Spears,1981-12-02,NA
1013,Britt Allcroft,1943-12-14,NA
1014,Britt Ekland,1942-10-06,NA
1015,Brittany Curran,1990-06-02,NA
1016,Brittany Daniel,1976-03-17,NA
1017,Brittney Powell,1972-03-04,NA
1018,Brock Baker,NA,NA
1019,Brock Peters,1927-07-02,2005-08-23
1020,Bronagh Gallagher,NA,NA
1021,Bronwen Hughes,NA,NA
1022,Brooke Bundy,1944-08-08,NA
1023,Brooke Newton,1986-06-05,NA
1024,Brooke Shields,1965-05-31,NA
1025,Brooke Smith,1967-05-22,NA
1026,Brooklynn Proulx,1999-04-27,NA
1027,Bruce Alexander,NA,NA
1028,Bruce Altman,1955-07-03,NA
1029,Bruce Beresford,1940-08-16,NA
1030,Bruce Boxleitner,1950-05-12,NA
1031,Bruce Campbell,1958-06-22,NA
1032,Bruce Davison,1946-06-28,NA
1033,Bruce Dellis,NA,NA
1034,Bruce Dern,1936-06-04,NA
1035,Bruce Gooch,NA,NA
1036,Bruce Goodchild,NA,NA
1037,Bruce Green,NA,NA
1038,Bruce Greenwood,1956-08-12,NA
1039,Bruce Hopkins,1955-11-25,NA
1040,Bruce Hunt,NA,NA
1041,Bruce Kerr,NA,NA
1042,Bruce Macdonald,1959-05-28,NA
1043,Bruce Malmuth,1934-02-04,2005-06-29
1044,Bruce McCulloch,1961-05-12,NA
1045,Bruce McDonald,1959-05-28,NA
1046,Bruce McGill,1950-07-11,NA
1047,Bruce Newbold,NA,NA
1048,Bruce Paltrow,1943-11-26,2002-10-03
1049,Bruce Payne,1958-11-22,NA
1050,Bruce Spence,1945-09-17,NA
1051,Bruce Thomas,NA,NA
1052,Bruce Vilanch,1948-11-23,NA
1053,Bruce Willis,1955-03-19,NA
1054,Bruno Barreto,1955-03-16,NA
1055,Bruno Campos,1973-12-03,NA
1056,Bruno Ganz,1941-03-22,NA
1057,Bruno Kirby,1949-04-28,2006-08-14
1058,Bryan Barber,NA,NA
1059,Bryan Brown,1947-06-23,NA
1060,Bryan Callen,1967-01-26,NA
1061,Bryan Dick,1952-08-23,NA
1062,Bryan Singer,1965-09-17,NA
1063,Bryce Dallas Howard,1981-03-02,NA
1064,Bubba Smith,NA,NA
1065,Bud Cort,1948-03-29,NA
1066,Bunta Sugawara,1933-08-16,2014-11-28
1067,Burgess Meredith,1907-11-16,1997-09-09
1068,Burghart Klaußner,1949-09-13,NA
1069,Burl Ives,1909-06-14,1995-04-14
1070,Burr Steers,1965-10-08,NA
1071,Burt Kwouk,1930-07-18,2016-05-24
1072,Burt Ward,1945-07-06,NA
1073,Burt Young,1940-04-30,NA
1074,Buster Keaton,1895-10-04,1966-02-01
1075,Busy Philipps,1979-06-25,NA
1076,Buzz Aldrin,1930-01-20,NA
1077,Byron Howard,1968-12-26,NA
1078,Byron Mann,NA,NA
1079,C. Fraser Press,NA,NA
1080,C. Jay Cox,NA,NA
1081,Cabrina Collesides,NA,NA
1082,Caitlin FitzGerald,NA,NA
1083,Caitlin Stasey,1990-05-01,NA
1084,Caitlyn Jenner,1949-10-28,NA
1085,Caity Lotz,1986-12-30,NA
1086,Cal Brunker,NA,NA
1087,Caleb Landry Jones,1989-12-07,NA
1088,Callie Khouri,1957-11-27,NA
1089,Callie Thorne,1969-11-20,NA
1090,Callum Blue,1977-08-19,NA
1091,Callum Rennie,1960-09-14,NA
1092,Calvin Lockhart,1934-10-18,2007-03-29
1093,Cam Clarke,1957-11-06,NA
1094,Cameron Boyce,1999-05-28,NA
1095,Cameron Bright,1993-01-26,NA
1096,Cameron Crowe,1957-07-13,NA
1097,Cameron Mills,NA,NA
1098,Cameron Monaghan,1993-08-16,NA
1099,Cameron Rhodes,1967-08-01,NA
1100,Camille Delamarre,1979-10-03,NA
1101,Campbell Scott,1961-07-19,NA
1102,Camren Bicondova,1999-05-22,NA
1103,Camryn Manheim,1961-03-08,NA
1104,Candace Kroslak,1978-07-22,NA
1105,Candice Bergen,1946-05-09,NA
1106,Cara Delevingne,1992-08-12,NA
1107,Cara Horgan,NA,NA
1108,Cara Seymour,NA,NA
1109,Carel Struycken,1948-07-30,NA
1110,Cariba Heine,1988-10-01,NA
1111,Carl Franklin,1949-04-11,NA
1112,Carl Gilliard,1958-04-18,NA
1113,Carl Rinsch,NA,NA
1114,Carl Theodor Dreyer,1889-02-03,1968-03-20
1115,Carl Weathers,1948-01-14,NA
1116,Carla Gallo,1975-06-24,NA
1117,Carlease Burke,NA,NA
1118,Carlo Cecchi,1939-01-25,NA
1119,Carlos Alazraqui,1962-07-20,NA
1120,Carlos Bardem,1963-03-07,NA
1121,Carlos Carrera,1962-08-18,NA
1122,Carlos Gallardo,NA,NA
1123,Carlos Lasarte,1941-09-14,NA
1124,Carlos Ponce,1972-09-04,NA
1125,Carlos Saldanha,1965-01-24,NA
1126,Carlos Saura,1932-01-04,NA
1127,Carly Schroeder,1990-10-18,NA
1128,Carmen Argenziano,1943-10-27,NA
1129,Carmen Ejogo,1973-10-22,NA
1130,Carmen Electra,1972-04-20,NA
1131,Carmen Marron,NA,NA
1132,Carmen Maura,1945-09-15,NA
1133,Carmen Perez,NA,NA
1134,Carmine Giovinazzo,1973-08-24,NA
1135,Carol Ann Susi,1952-02-02,2014-11-11
1136,Carol Block,NA,NA
1137,Carol Channing,1921-01-31,NA
1138,Carol Kane,1952-06-18,NA
1139,Carol Reed,1906-12-30,1976-04-25
1140,Carol Sutton,NA,NA
1141,Carole Bouquet,1957-08-18,NA
1142,Caroline Dhavernas,1978-05-15,NA
1143,Caroline Goodall,1959-11-13,NA
1144,Caroline Link,1964-06-02,NA
1145,Caroline Munro,1949-01-16,NA
1146,Caroll Spinney,1933-12-26,NA
1147,Carolyn Hennesy,1962-06-10,NA
1148,Carrie Bradstreet,NA,NA
1149,Carrie Henn,1976-05-07,NA
1150,Carrie Preston,1967-06-21,NA
1151,Carroll Baker,1931-05-28,NA
1152,Carroll Ballard,1937-10-14,NA
1153,Carroll O'Connor,1924-08-02,2001-06-21
1154,Carter Jenkins,1991-09-04,NA
1155,Carter Smith,1971-09-06,NA
1156,Cary Bell,NA,NA
1157,Cary-Hiroyuki Tagawa,1950-09-27,NA
1158,Caryn Waechter,NA,NA
1159,Cas Anvar,NA,NA
1160,Casey Affleck,1975-08-12,NA
1161,Casey Gooden,NA,NA
1162,Casey Kasem,1932-04-27,2014-06-15
1163,Casey Siemaszko,1961-03-17,NA
1164,Casper Christensen,1968-08-22,NA
1165,Casper Crump,1977-07-11,NA
1166,Casper Martinez,NA,NA
1167,Cassandra Nicolaou,NA,NA
1168,Cassandra Peterson,1951-09-17,NA
1169,Cassidy Gifford,1993-08-02,NA
1170,Cassie Ventura,1986-08-26,NA
1171,Cat Ly,NA,NA
1172,Catalina Sandino Moreno,1981-04-19,NA
1173,Catherine Bell,1968-08-14,NA
1174,Catherine Deneuve,1943-10-22,NA
1175,Catherine Dent,1965-04-14,NA
1176,Catherine Dyer,NA,NA
1177,Catherine Gund,NA,NA
1178,Catherine Hardwicke,1955-10-21,NA
1179,Catherine Hicks,1951-08-06,NA
1180,Catherine Jelski,NA,NA
1181,Catherine Lambert,NA,NA
1182,Catherine Lough Haggquist,NA,NA
1183,Catherine McCormack,1972-04-03,NA
1184,Catherine O'Hara,1954-03-04,NA
1185,Catherine Owens,NA,NA
1186,Catherine Parks,1956-12-10,NA
1187,Catherine Schell,1944-07-17,NA
1188,Catherine Tate,1968-05-12,NA
1189,Cathryn de Prume,1964-07-04,NA
1190,Cathy Malkasian,NA,NA
1191,Cathy Moriarty,1960-11-29,NA
1192,Catriona MacColl,1954-10-03,NA
1193,CCH Pounder,1952-12-25,NA
1194,Cecelia Antoinette,NA,NA
1195,Cecil B. DeMille,1881-08-12,1959-01-21
1196,Cecil Kellaway,1893-08-22,1973-02-28
1197,Cécile De France,1975-07-17,NA
1198,Cecilia Pillado,NA,NA
1199,Cédric Klapisch,1961-09-04,NA
1200,Cedric Nicolas-Troyan,1969-03-09,NA
1201,Cedric the Entertainer,1964-04-24,NA
1202,Celeste Holm,1917-04-29,2012-07-15
1203,Celia Imrie,1952-07-15,NA
1204,Celia Weston,1951-12-14,NA
1205,Celina Beach,NA,NA
1206,Celina Jade,1985-06-10,NA
1207,Cem Yilmaz,1973-04-23,NA
1208,Cesar Romero,1907-02-15,1994-01-01
1209,Chad Allen,1974-06-05,NA
1210,Chad Bishop,NA,NA
1211,Chad Hartigan,1982-08-31,NA
1212,Chad Kapper,NA,NA
1213,Chad L. Coleman,1974-09-06,NA
1214,Chad Lindberg,1976-11-01,NA
1215,Chad Lowe,1968-01-15,NA
1216,Chan-wook Park,1963-08-23,NA
1217,Chandler Canterbury,1998-12-15,NA
1218,Channing Tatum,1980-04-26,NA
1219,Chao-Bin Su,NA,NA
1220,Charice,1976-09-05,NA
1221,Charis Michelsen,1974-12-30,NA
1222,Charla Cochran,1968-03-28,NA
1223,Charles Adelman,1976-08-31,NA
1224,Charles Aidman,1925-01-21,1993-11-07
1225,Charles Aznavour,1924-05-22,NA
1226,Charles Baker,1971-02-27,NA
1227,Charles Binamé,NA,NA
1228,Charles Chaplin,1889-04-16,1977-12-25
1229,Charles Ferguson,1955-03-24,NA
1230,Charles Grodin,1935-04-21,NA
1231,Charles Herman-Wurmfeld,1966-07-05,NA
1232,Charles Irving Beale,NA,NA
1233,Charles Keating,1941-10-22,2014-08-08
1234,Charles King,NA,NA
1235,Charles Linton,NA,NA
1236,Charles Martin Smith,1953-10-30,NA
1237,Charles Martinet,NA,NA
1238,Charles Matthau,1962-12-10,NA
1239,Charles Mesure,1970-08-12,NA
1240,Charles Napier,1936-04-12,2011-10-05
1241,Charles Robert Carner,1957-04-30,NA
1242,Charles S. Dutton,1951-01-30,NA
1243,Charles Shyer,1941-10-11,NA
1244,Charles Stone III,NA,NA
1245,Charles T. Kanganis,NA,NA
1246,Charlie Bewley,1981-01-25,NA
1247,Charlie Hunnam,1980-04-10,NA
1248,Charlie Kaufman,1958-11-19,NA
1249,Charlie Korsmo,1978-07-20,NA
1250,Charlie Levi,NA,NA
1251,Charlie McDermott,1990-04-06,NA
1252,Charlie Murphy,NA,NA
1253,Charlie Rowe,1942-01-05,NA
1254,Charlie Saxton,NA,NA
1255,Charlie Tahan,NA,NA
1256,Charlie Talbert,1978-12-13,NA
1257,Charlie Yeung,1974-05-23,NA
1258,Charlize Theron,1975-08-07,NA
1259,Charlotte Bøving,1964-08-15,NA
1260,Charlotte Le Bon,1986-09-04,NA
1261,Charlotte Lewis,1967-08-07,NA
1262,Charlotte Rae,1926-04-22,NA
1263,Charlotte Rampling,1946-02-05,NA
1264,Charlotte Stewart,1941-02-27,NA
1265,Charlotte Sullivan,1983-10-21,NA
1266,Charly Bivona,NA,NA
1267,Charlyne Yi,1986-01-04,NA
1268,Chase Armitage,1985-08-02,NA
1269,Chase Ellison,1993-09-22,NA
1270,Chase Masterson,1963-02-26,NA
1271,Chasty Ballesteros,NA,NA
1272,Chatchai Plengpanich,NA,NA
1273,Chatrichalerm Yukol,1942-11-29,NA
1274,Chazz Palminteri,1952-05-15,NA
1275,Cheech Marin,1946-07-13,NA
1276,Chelan Simmons,1982-10-29,NA
1277,Chelcie Ross,1942-10-26,NA
1278,Chelse Swain,1983-05-25,NA
1279,Chelsea Bond,NA,NA
1280,Chelsea Field,1957-05-27,NA
1281,Chelsea Handler,1975-02-25,NA
1282,Chelsey Reist,NA,NA
1283,Chemeeka Walker,NA,NA
1284,Chen Chang,1976-10-14,NA
1285,Chenoa Maxwell,1969-11-16,NA
1286,Cherami Leigh,1988-07-19,NA
1287,Cheri Oteri,1962-09-19,NA
1288,Cherry Jones,1956-11-21,NA
1289,Cheryl Dunye,1966-05-13,NA
1290,Cheryl Hines,1965-09-21,NA
1291,Cheryl Ladd,1951-07-12,NA
1292,Cheryl Penland,NA,NA
1293,Cheryl Tiegs,1947-09-25,NA
1294,Chester,1970-01-20,NA
1295,Cheyenne Jackson,1975-07-12,NA
1296,Chi Chung Lam,1976-08-16,NA
1297,Chi Ling Chiu,NA,NA
1298,Chi McBride,1961-09-23,NA
1299,Chi Muoi Lo,NA,NA
1300,Chia-Liang Liu,1936-08-01,2013-06-25
1301,Chiaki Kuriyama,1984-10-10,NA
1302,Chiara Caselli,1967-12-22,NA
1303,Chin-Chien Chang,NA,NA
1304,China Chow,1974-04-15,NA
1305,Ching Wan Lau,1964-02-16,NA
1306,Chita Rivera,1933-01-23,NA
1307,Chloe Bridges,1991-12-27,NA
1308,Chloë Grace Moretz,1997-02-10,NA
1309,Chloe Hollings,NA,NA
1310,Chloe Rose,1994-10-25,NA
1311,Chris 'Wonder' Schoeck,NA,NA
1312,Chris Andrew Ciulla,1975-07-28,NA
1313,Chris Atkins,NA,NA
1314,Chris Barrie,1960-03-28,NA
1315,Chris Bauer,1966-10-28,NA
1316,Chris Brochu,NA,NA
1317,Chris Brown,1989-05-05,NA
1318,Chris Buck,NA,NA
1319,Chris Butler,NA,NA
1320,Chris Carter,1956-10-13,NA
1321,Chris Cleveland,NA,NA
1322,Chris Columbus,1958-09-10,NA
1323,Chris Cox,NA,NA
1324,Chris D'Arienzo,1972-04-14,NA
1325,Chris Eigeman,1965-03-01,NA
1326,Chris Elliott,1960-05-31,NA
1327,Chris Ellis,1956-04-14,NA
1328,Chris Evans,1981-06-13,NA
1329,Chris Eyre,NA,NA
1330,Chris Gauthier,1976-01-27,NA
1331,Chris Geere,1981-03-18,NA
1332,Chris Gorak,NA,NA
1333,Chris Harrison,1971-07-26,NA
1334,Chris Hemsworth,1983-08-11,NA
1335,Chris Kattan,1970-10-19,NA
1336,Chris Kentis,1962-10-23,NA
1337,Chris Klein,1979-03-14,NA
1338,Chris Koch,NA,NA
1339,Chris Lowell,1984-10-17,NA
1340,Chris Marker,1921-07-29,2012-07-29
1341,Chris Marquette,1984-10-03,NA
1342,Chris Miller,1975-09-23,NA
1343,Chris Moss,NA,NA
1344,Chris Mulkey,1948-05-03,NA
1345,Chris Nahon,1968-12-05,NA
1346,Chris New,1940-02-17,NA
1347,Chris Noonan,1952-11-14,NA
1348,Chris Noth,1954-11-13,NA
1349,Chris Owen,1961-09-07,NA
1350,Chris Paine,1980-08-26,NA
1351,Chris Parnell,1967-02-05,NA
1352,Chris Penn,1965-10-10,2006-01-24
1353,Chris Pontius,1974-07-16,NA
1354,Chris Roberts,NA,NA
1355,Chris Robinson,1938-11-05,NA
1356,Chris Rock,1965-02-07,NA
1357,Chris Shadley,1975-07-21,NA
1358,Chris Stokes,NA,NA
1359,Chris Thomas,NA,NA
1360,Chris Wedge,1957-03-20,NA
1361,Chris Weitz,1969-11-30,NA
1362,Chris Young,1957-04-28,NA
1363,Chris Zylka,1985-05-09,NA
1364,Chriss Anglin,NA,NA
1365,Christa B. Allen,1991-11-11,NA
1366,Christa Miller,1964-05-28,NA
1367,Christel Khalil,1987-11-30,NA
1368,Christian Alvarez,1986-07-25,NA
1369,Christian Alvart,1974-05-28,NA
1370,Christian Anderson,1932-12-26,2000-12-01
1371,Christian Bale,1974-01-30,NA
1372,Christian Berkel,1957-10-28,NA
1373,Christian Camargo,1971-07-07,NA
1374,Christian Campbell,1972-05-12,NA
1375,Christian Carion,1963-01-04,NA
1376,Christian Clavier,1952-05-06,NA
1377,Christian Clemenson,1958-03-17,NA
